Latitude,Longitude,Nodes
46.730651,-117.169465,1
46.730952,-117.16874,12
46.729717,-117.169841,2
46.731544,-117.167946,3
46.731908,-117.16676,4
46.731842,-117.166068,8
46.731809,-117.165472,9
46.731809,-117.165472,10
46.731721,-117.163803,4
46.731386,-117.165114,7
46.731335,-117.165861,6
46.731335,-117.165861,5
46.730393,-117.166773,14
46.730375,117.165995,18
46.730375,-117.165995,19
46.730415,-117.164417,20
46.730445,-117.163997,21
46.730445,-117.163992,17
46.729834,-117.166547,16
46.729879,-117.167643,13
46.729264,-117.168603,15
